community,grid_id,ak_grid_id,grid_name,connection_year,termination_year
Kodiak Station,223,AK-GR-223,Kodiak_grid,0,9999
Port Lions,223,AK-GR-223,Kodiak_grid,0,9999
Chiniak,223,AK-GR-223,Kodiak_grid,0,9999
Woody Island,223,AK-GR-223,Kodiak_grid,0,9999
Deadhorse,224,AK-GR-224,Deadhorse_grid,0,9999
Metlakatla,225,AK-GR-225,Metlakatla_grid,0,9999
Paxson,226,AK-GR-226,Paxson_grid,0,9999
Ketchikan,227,AK-GR-227,Ketchikan_grid,0,9999
Wrangell,228,AK-GR-228,WrangellPetersburg_grid,1981,9999
Petersburg,228,AK-GR-228,WrangellPetersburg_grid,1981,9999
